RunId,Mode,RobotCount,PanicState,Seed,TotalEpisodes,InitialHumans,Escaped,Deaths,SuccessRate,AvgEpisodeTime,AvgEscapedHealthAll,AvgFinalHealthAll,AvgEscapedPerEpisode,AvgDeathsPerEpisode,IsFinal
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204301_ep100_formal_r3_seed204301,Case1_RobotScaling_robots3_panic-1,3,-1,204301,10,500,191,35,38.2,150.0152,30.3826,72.7437,19.1,3.5,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204301_ep100_formal_r3_seed204301,Case1_RobotScaling_robots3_panic-1,3,-1,204301,20,1000,422,68,42.2,150.0152,31.7246,71.3791,21.1,3.4,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204301_ep100_formal_r3_seed204301,Case1_RobotScaling_robots3_panic-1,3,-1,204301,30,1500,651,85,43.4,150.0152,32.608,71.7777,21.7,2.8333,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204301_ep100_formal_r3_seed204301,Case1_RobotScaling_robots3_panic-1,3,-1,204301,40,2000,866,115,43.3,150.0152,32.3953,71.8603,21.65,2.875,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204301_ep100_formal_r3_seed204301,Case1_RobotScaling_robots3_panic-1,3,-1,204301,50,2500,1048,126,41.92,150.0152,31.5714,72.8322,20.96,2.52,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204301_ep100_formal_r3_seed204301,Case1_RobotScaling_robots3_panic-1,3,-1,204301,60,3000,1292,140,43.0667,150.0152,32.1124,72.5072,21.5333,2.3333,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204301_ep100_formal_r3_seed204301,Case1_RobotScaling_robots3_panic-1,3,-1,204301,70,3500,1537,189,43.9143,150.0153,33.0064,72.3802,21.9571,2.7,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204301_ep100_formal_r3_seed204301,Case1_RobotScaling_robots3_panic-1,3,-1,204301,80,4000,1761,226,44.025,150.0153,33.1841,72.0086,22.0125,2.825,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204301_ep100_formal_r3_seed204301,Case1_RobotScaling_robots3_panic-1,3,-1,204301,90,4500,1993,250,44.2889,150.0154,33.3222,72.0126,22.1444,2.7778,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204301_ep100_formal_r3_seed204301,Case1_RobotScaling_robots3_panic-1,3,-1,204301,100,5000,2169,269,43.38,150.0154,33.0729,72.4911,21.69,2.69,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204301_ep100_formal_r3_seed204301,Case1_RobotScaling_robots3_panic-1,3,-1,204301,100,5000,2169,269,43.38,150.0154,33.0729,72.4911,21.69,2.69,true
