RunId,Mode,RobotCount,PanicState,Seed,TotalEpisodes,InitialHumans,Escaped,Deaths,SuccessRate,AvgEpisodeTime,AvgEscapedHealthAll,AvgFinalHealthAll,AvgEscapedPerEpisode,AvgDeathsPerEpisode,IsFinal
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204101_ep100_formal_r3_seed204101,Case1_RobotScaling_robots3_panic-1,3,-1,204101,10,500,194,30,38.8,150.0152,31.2424,72.7006,19.4,3,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204101_ep100_formal_r3_seed204101,Case1_RobotScaling_robots3_panic-1,3,-1,204101,20,1000,425,64,42.5,150.0152,32.2808,72.0154,21.25,3.2,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204101_ep100_formal_r3_seed204101,Case1_RobotScaling_robots3_panic-1,3,-1,204101,30,1500,686,72,45.7333,150.0152,33.7784,72.8137,22.8667,2.4,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204101_ep100_formal_r3_seed204101,Case1_RobotScaling_robots3_panic-1,3,-1,204101,40,2000,906,92,45.3,150.0152,33.0427,72.6579,22.65,2.3,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204101_ep100_formal_r3_seed204101,Case1_RobotScaling_robots3_panic-1,3,-1,204101,50,2500,1101,105,44.04,150.0152,32.472,73.2309,22.02,2.1,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204101_ep100_formal_r3_seed204101,Case1_RobotScaling_robots3_panic-1,3,-1,204101,60,3000,1343,142,44.7667,150.0152,32.902,72.2363,22.3833,2.3667,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204101_ep100_formal_r3_seed204101,Case1_RobotScaling_robots3_panic-1,3,-1,204101,70,3500,1606,155,45.8857,150.0153,33.3904,71.9487,22.9429,2.2143,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204101_ep100_formal_r3_seed204101,Case1_RobotScaling_robots3_panic-1,3,-1,204101,80,4000,1819,186,45.475,150.0153,33.1406,71.7445,22.7375,2.325,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204101_ep100_formal_r3_seed204101,Case1_RobotScaling_robots3_panic-1,3,-1,204101,90,4500,2021,211,44.9111,150.0154,32.7671,71.2515,22.4556,2.3444,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204101_ep100_formal_r3_seed204101,Case1_RobotScaling_robots3_panic-1,3,-1,204101,100,5000,2232,239,44.64,150.0154,32.8023,71.3803,22.32,2.39,false
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r3_seed204101_ep100_formal_r3_seed204101,Case1_RobotScaling_robots3_panic-1,3,-1,204101,100,5000,2232,239,44.64,150.0154,32.8023,71.3803,22.32,2.39,true
