Episode,RobotID,Time,X,Z,FollowerCount
0,RobotControl(Clone)_-17146,51.00,19.28,46.11,1
0,RobotControl(Clone)_-17146,51.50,21.24,48.32,1
0,RobotControl(Clone)_-17146,52.00,22.27,49.63,1
0,RobotControl(Clone)_-17146,52.50,24.33,52.25,1
0,RobotControl(Clone)_-17146,53.00,25.35,53.56,1
0,RobotControl(Clone)_-17146,53.50,27.41,56.19,1
0,RobotControl(Clone)_-17146,54.00,27.13,55.70,1
0,RobotControl(Clone)_-17146,54.50,25.81,53.64,1
0,RobotControl(Clone)_-17146,55.00,26.46,54.44,1
0,RobotControl(Clone)_-17146,55.50,28.46,57.09,1
0,RobotControl(Clone)_-17146,56.00,29.46,58.42,1
0,RobotControl(Clone)_-17146,56.50,31.46,61.09,1
0,RobotControl(Clone)_-17146,57.00,31.19,60.59,1
0,RobotControl(Clone)_-17146,57.50,30.02,58.42,0
0,RobotControl(Clone)_-17146,58.00,30.65,59.25,0
0,RobotControl(Clone)_-17146,58.50,31.33,58.32,0
0,RobotControl(Clone)_-17146,59.00,31.31,57.28,0
0,RobotControl(Clone)_-17146,59.50,31.70,59.24,0
0,RobotControl(Clone)_-17146,60.00,32.27,61.15,0
0,RobotControl(Clone)_-17146,60.50,32.18,60.30,0
0,RobotControl(Clone)_-17146,61.00,31.99,59.99,0
0,RobotControl(Clone)_-17146,61.50,31.99,59.99,0
0,RobotControl(Clone)_-17146,62.00,31.99,59.99,0
0,RobotControl(Clone)_-17146,62.50,32.36,58.28,0
0,RobotControl(Clone)_-17146,63.00,32.82,56.37,0
0,RobotControl(Clone)_-17146,63.50,33.76,52.50,0
0,RobotControl(Clone)_-17146,64.00,34.23,50.57,0
0,RobotControl(Clone)_-17146,64.50,35.50,40.84,0
0,RobotControl(Clone)_-17146,65.00,35.50,38.84,0
0,RobotControl(Clone)_-17146,65.50,35.50,34.84,0
0,RobotControl(Clone)_-17146,66.00,35.50,32.84,0
0,RobotControl(Clone)_-17146,66.50,35.50,28.84,0
0,RobotControl(Clone)_-17146,67.00,35.50,26.84,0
0,RobotControl(Clone)_-17146,67.50,35.50,16.34,0
0,RobotControl(Clone)_-17146,68.00,33.81,15.27,0
0,RobotControl(Clone)_-17146,68.50,24.71,15.38,0
0,RobotControl(Clone)_-17146,69.00,23.19,14.20,0
0,RobotControl(Clone)_-17146,69.50,21.56,6.60,0
0,RobotControl(Clone)_-17146,70.00,22.23,6.63,0
0,RobotControl(Clone)_-17146,70.50,19.51,7.35,0
0,RobotControl(Clone)_-17146,71.00,17.68,8.19,0
0,RobotControl(Clone)_-17146,71.50,14.07,9.74,0
0,RobotControl(Clone)_-17146,72.00,12.07,9.59,0
0,RobotControl(Clone)_-17146,72.50,4.46,8.40,0
0,RobotControl(Clone)_-17146,73.00,4.46,8.40,0
0,RobotControl(Clone)_-17146,73.50,4.24,9.33,0
0,RobotControl(Clone)_-17146,74.00,4.24,10.16,0
0,RobotControl(Clone)_-17146,74.50,5.99,9.11,0
0,RobotControl(Clone)_-17146,75.00,5.58,9.99,0
0,RobotControl(Clone)_-17146,75.50,5.20,11.01,0
0,RobotControl(Clone)_-17146,76.00,5.20,11.01,0
0,RobotControl(Clone)_-17146,76.50,4.90,11.93,0
0,RobotControl(Clone)_-17146,77.00,4.58,12.83,0
0,RobotControl(Clone)_-17146,77.50,4.21,13.87,0
0,RobotControl(Clone)_-17146,78.00,4.23,13.87,0
0,RobotControl(Clone)_-17146,78.50,5.98,10.27,0
0,RobotControl(Clone)_-17146,79.00,5.63,11.25,0
0,RobotControl(Clone)_-17146,79.50,5.33,12.14,0
0,RobotControl(Clone)_-17146,80.00,5.33,12.14,0
0,RobotControl(Clone)_-17146,80.50,5.08,13.03,0
0,RobotControl(Clone)_-17146,81.00,4.84,14.04,0
0,RobotControl(Clone)_-17146,81.50,5.51,12.15,0
0,RobotControl(Clone)_-17146,82.00,6.19,10.27,0
0,RobotControl(Clone)_-17146,82.50,5.89,11.16,0
0,RobotControl(Clone)_-17146,83.00,5.62,12.00,0
0,RobotControl(Clone)_-17146,83.50,5.36,12.92,0
0,RobotControl(Clone)_-17146,84.00,5.36,12.92,0
0,RobotControl(Clone)_-17146,84.50,5.20,13.85,0
0,RobotControl(Clone)_-17146,85.00,4.86,15.82,0
0,RobotControl(Clone)_-17146,85.50,5.56,13.70,0
0,RobotControl(Clone)_-17146,86.00,5.39,14.61,0
0,RobotControl(Clone)_-17146,86.50,5.93,12.69,0
0,RobotControl(Clone)_-17146,87.00,6.43,10.75,0
0,RobotControl(Clone)_-17146,87.50,6.19,11.74,0
0,RobotControl(Clone)_-17146,88.00,5.95,12.64,0
0,RobotControl(Clone)_-17146,88.50,5.65,13.57,0
0,RobotControl(Clone)_-17146,89.00,5.65,13.57,0
0,RobotControl(Clone)_-17146,89.50,5.38,14.51,0
0,RobotControl(Clone)_-17146,90.00,5.88,12.57,0
0,RobotControl(Clone)_-17146,90.50,6.10,11.53,0
0,RobotControl(Clone)_-17146,91.00,6.10,11.53,0
0,RobotControl(Clone)_-17146,91.50,5.86,12.43,0
0,RobotControl(Clone)_-17146,92.00,5.64,13.34,0
0,RobotControl(Clone)_-17146,92.50,5.49,14.25,0
0,RobotControl(Clone)_-17146,93.00,5.49,14.25,0
0,RobotControl(Clone)_-17146,93.50,6.51,10.38,0
0,RobotControl(Clone)_-17146,94.00,6.29,11.37,0
0,RobotControl(Clone)_-17146,94.50,6.05,12.32,0
0,RobotControl(Clone)_-17146,95.00,6.05,12.32,0
0,RobotControl(Clone)_-17146,95.50,5.85,13.26,0
0,RobotControl(Clone)_-17146,96.00,5.69,14.19,0
0,RobotControl(Clone)_-17146,96.50,6.15,12.25,0
0,RobotControl(Clone)_-17146,97.00,6.61,10.30,0
0,RobotControl(Clone)_-17146,97.50,6.50,11.23,0
0,RobotControl(Clone)_-17146,98.00,6.32,12.18,0
0,RobotControl(Clone)_-17146,98.50,6.16,13.12,0
0,RobotControl(Clone)_-17146,99.00,6.16,13.12,0
0,RobotControl(Clone)_-17146,99.50,6.01,14.01,0
0,RobotControl(Clone)_-17146,100.00,5.94,14.94,0
0,RobotControl(Clone)_-17146,100.50,6.28,12.97,0
0,RobotControl(Clone)_-17146,101.00,6.62,11.00,0
0,RobotControl(Clone)_-17146,101.50,6.48,11.93,0
0,RobotControl(Clone)_-17146,101.99,6.35,12.82,0
0,RobotControl(Clone)_-17146,102.49,6.24,13.75,0
0,RobotControl(Clone)_-17146,102.99,6.24,13.75,0
0,RobotControl(Clone)_-17146,103.49,6.17,14.61,0
0,RobotControl(Clone)_-17146,103.99,6.46,12.63,0
0,RobotControl(Clone)_-17146,104.49,6.64,11.44,0
