Episode,RobotID,Time,X,Z,FollowerCount
0,RobotControl(Clone)_-17182,0.50,94.80,26.25,0
0,RobotControl(Clone)_-17182,1.00,94.51,26.25,0
0,RobotControl(Clone)_-17182,1.50,94.66,26.25,0
0,RobotControl(Clone)_-17182,2.00,94.74,26.25,0
0,RobotControl(Clone)_-17182,2.50,94.79,26.25,0
0,RobotControl(Clone)_-17182,3.00,94.68,26.25,0
0,RobotControl(Clone)_-17182,3.50,94.74,26.25,0
0,RobotControl(Clone)_-17182,4.00,92.69,26.25,0
0,RobotControl(Clone)_-17182,4.50,88.67,26.25,0
0,RobotControl(Clone)_-17182,5.00,86.66,26.25,0
0,RobotControl(Clone)_-17182,5.50,82.66,26.25,0
0,RobotControl(Clone)_-17182,6.00,81.90,26.25,0
0,RobotControl(Clone)_-17182,6.50,81.90,26.25,0
0,RobotControl(Clone)_-17182,7.00,81.90,26.25,0
0,RobotControl(Clone)_-17182,7.50,77.90,26.39,0
0,RobotControl(Clone)_-17182,8.00,75.90,26.47,0
0,RobotControl(Clone)_-17182,8.50,71.91,26.61,0
0,RobotControl(Clone)_-17182,9.00,64.24,26.49,0
0,RobotControl(Clone)_-17182,9.50,63.61,27.88,0
0,RobotControl(Clone)_-17182,10.00,63.90,29.86,0
0,RobotControl(Clone)_-17182,10.50,64.43,33.82,0
0,RobotControl(Clone)_-17182,11.00,64.51,34.70,1
0,RobotControl(Clone)_-17182,11.50,64.93,33.61,1
0,RobotControl(Clone)_-17182,12.00,65.35,32.52,1
0,RobotControl(Clone)_-17182,12.50,66.32,30.39,1
0,RobotControl(Clone)_-17182,13.00,66.32,30.39,1
0,RobotControl(Clone)_-17182,13.50,65.30,29.45,1
0,RobotControl(Clone)_-17182,14.00,59.61,28.21,1
0,RobotControl(Clone)_-17182,14.50,57.44,29.23,1
0,RobotControl(Clone)_-17182,15.00,57.43,29.21,1
0,RobotControl(Clone)_-17182,15.50,56.87,30.78,1
0,RobotControl(Clone)_-17182,16.00,56.32,32.34,1
0,RobotControl(Clone)_-17182,16.50,55.20,35.48,1
0,RobotControl(Clone)_-17182,17.00,54.65,37.06,1
0,RobotControl(Clone)_-17182,17.50,53.54,40.20,1
0,RobotControl(Clone)_-17182,18.00,52.98,41.77,1
0,RobotControl(Clone)_-17182,18.50,54.62,49.34,1
0,RobotControl(Clone)_-17182,19.00,53.49,50.57,1
0,RobotControl(Clone)_-17182,19.50,51.62,51.93,1
0,RobotControl(Clone)_-17182,20.00,51.66,50.76,1
0,RobotControl(Clone)_-17182,20.50,51.15,49.46,1
0,RobotControl(Clone)_-17182,21.00,50.82,51.08,1
0,RobotControl(Clone)_-17182,21.50,48.72,53.58,1
0,RobotControl(Clone)_-17182,22.00,47.65,54.81,1
0,RobotControl(Clone)_-17182,22.50,45.39,57.25,1
0,RobotControl(Clone)_-17182,23.00,44.26,58.46,1
0,RobotControl(Clone)_-17182,23.50,41.97,60.88,1
0,RobotControl(Clone)_-17182,24.00,40.83,62.09,1
0,RobotControl(Clone)_-17182,24.50,38.88,64.14,1
0,RobotControl(Clone)_-17182,25.00,39.59,63.37,1
0,RobotControl(Clone)_-17182,25.50,41.53,61.30,0
0,RobotControl(Clone)_-17182,26.00,41.14,61.70,0
0,RobotControl(Clone)_-17182,26.50,42.73,61.18,0
0,RobotControl(Clone)_-17182,27.00,44.70,60.48,0
0,RobotControl(Clone)_-17182,27.50,46.23,59.84,0
0,RobotControl(Clone)_-17182,28.00,46.35,59.86,0
0,RobotControl(Clone)_-17182,28.50,46.40,59.86,0
0,RobotControl(Clone)_-17182,29.00,47.40,58.11,0
0,RobotControl(Clone)_-17182,29.50,48.90,54.40,0
0,RobotControl(Clone)_-17182,30.00,49.63,52.54,0
0,RobotControl(Clone)_-17182,30.50,51.08,48.81,0
0,RobotControl(Clone)_-17182,31.00,49.69,41.76,0
