Episode,RobotID,Time,X,Z,FollowerCount
0,RobotControl(Clone)_-17164,0.50,37.50,66.90,1
0,RobotControl(Clone)_-17164,1.00,36.93,64.70,1
0,RobotControl(Clone)_-17164,1.50,36.20,62.29,2
0,RobotControl(Clone)_-17164,2.00,35.81,61.10,3
0,RobotControl(Clone)_-17164,2.50,35.38,59.98,3
0,RobotControl(Clone)_-17164,3.00,35.37,60.10,3
0,RobotControl(Clone)_-17164,3.50,35.77,59.81,2
0,RobotControl(Clone)_-17164,4.00,34.63,59.78,2
0,RobotControl(Clone)_-17164,4.50,35.47,57.61,2
0,RobotControl(Clone)_-17164,5.00,36.31,56.80,2
0,RobotControl(Clone)_-17164,5.50,38.30,55.57,2
0,RobotControl(Clone)_-17164,6.00,39.33,55.02,2
0,RobotControl(Clone)_-17164,6.50,39.76,54.50,2
0,RobotControl(Clone)_-17164,7.00,41.79,55.18,2
0,RobotControl(Clone)_-17164,7.50,40.86,58.15,2
0,RobotControl(Clone)_-17164,8.00,40.23,59.56,2
0,RobotControl(Clone)_-17164,8.50,38.69,62.46,2
0,RobotControl(Clone)_-17164,9.00,37.90,63.89,1
0,RobotControl(Clone)_-17164,9.50,36.28,66.90,0
0,RobotControl(Clone)_-17164,10.00,36.16,66.90,0
0,RobotControl(Clone)_-17164,10.50,37.31,66.89,0
0,RobotControl(Clone)_-17164,11.00,37.52,66.81,0
0,RobotControl(Clone)_-17164,11.50,38.80,66.86,0
0,RobotControl(Clone)_-17164,12.00,39.92,66.86,0
0,RobotControl(Clone)_-17164,12.50,39.63,64.82,0
0,RobotControl(Clone)_-17164,13.00,39.33,62.82,0
0,RobotControl(Clone)_-17164,13.50,38.69,58.86,0
0,RobotControl(Clone)_-17164,14.00,38.38,56.88,0
0,RobotControl(Clone)_-17164,14.50,37.73,52.92,0
0,RobotControl(Clone)_-17164,15.00,37.41,50.95,0
0,RobotControl(Clone)_-17164,15.50,36.50,40.84,1
0,RobotControl(Clone)_-17164,16.00,36.50,38.84,1
0,RobotControl(Clone)_-17164,16.50,38.25,35.25,1
0,RobotControl(Clone)_-17164,17.00,38.95,32.63,1
0,RobotControl(Clone)_-17164,17.50,38.69,33.78,1
0,RobotControl(Clone)_-17164,18.00,38.38,35.25,1
0,RobotControl(Clone)_-17164,18.50,37.73,38.44,1
0,RobotControl(Clone)_-17164,19.00,37.41,40.04,1
0,RobotControl(Clone)_-17164,19.50,36.50,48.38,1
0,RobotControl(Clone)_-17164,20.00,36.50,50.04,1
0,RobotControl(Clone)_-17164,20.50,36.47,50.14,1
0,RobotControl(Clone)_-17164,21.00,36.23,48.87,1
0,RobotControl(Clone)_-17164,21.50,36.34,45.61,1
0,RobotControl(Clone)_-17164,22.00,36.35,46.20,1
0,RobotControl(Clone)_-17164,22.50,36.23,49.60,1
0,RobotControl(Clone)_-17164,23.00,36.22,51.28,1
0,RobotControl(Clone)_-17164,23.50,36.18,54.61,1
0,RobotControl(Clone)_-17164,24.00,36.15,56.28,1
0,RobotControl(Clone)_-17164,24.50,36.15,56.39,1
0,RobotControl(Clone)_-17164,25.00,36.17,55.22,1
0,RobotControl(Clone)_-17164,25.50,36.26,52.89,1
0,RobotControl(Clone)_-17164,26.00,36.28,51.89,1
0,RobotControl(Clone)_-17164,26.50,36.19,54.57,1
0,RobotControl(Clone)_-17164,27.00,36.14,56.21,1
