RunId,Episode,Mode,RobotCount,PanicState,Seed,Termination,InitialHumans,Escaped,Deaths,AliveAtEnd,EpisodeTime,EscapedHealthSum,AliveHealthSum,FinalSurvivorHealthSum,SuccessRate,AvgEscapedHealthAll,AvgFinalHealthAll
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,1,Case1_RobotScaling_robots1_panic-1,1,-1,204101,timeout,50,4,6,40,150.0152,386.0093,2146.02,2532.029,8,7.7202,50.6406
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,2,Case1_RobotScaling_robots1_panic-1,1,-1,204102,timeout,50,8,10,32,150.0152,658.42,1656.571,2314.991,16,13.1684,46.2998
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,3,Case1_RobotScaling_robots1_panic-1,1,-1,204103,timeout,50,11,4,35,150.0152,844.666,2110.185,2954.851,22,16.8933,59.097
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,4,Case1_RobotScaling_robots1_panic-1,1,-1,204104,timeout,50,9,5,36,150.0152,623.9343,3224.062,3847.996,18,12.4787,76.9599
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,5,Case1_RobotScaling_robots1_panic-1,1,-1,204105,timeout,50,5,10,35,150.0152,471.6892,2779.261,3250.95,10,9.4338,65.019
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,6,Case1_RobotScaling_robots1_panic-1,1,-1,204106,timeout,50,28,3,19,150.0152,1660.632,1402.065,3062.698,56,33.2126,61.254
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,7,Case1_RobotScaling_robots1_panic-1,1,-1,204107,timeout,50,4,7,39,150.0152,391.8049,2649.577,3041.382,8,7.8361,60.8276
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,8,Case1_RobotScaling_robots1_panic-1,1,-1,204108,timeout,50,20,2,28,150.0152,1288.389,2244.362,3532.75,40,25.7678,70.655
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,9,Case1_RobotScaling_robots1_panic-1,1,-1,204109,timeout,50,12,6,32,150.0152,771.951,2430.227,3202.178,24,15.439,64.0436
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,10,Case1_RobotScaling_robots1_panic-1,1,-1,204110,timeout,50,10,4,36,150.0152,495.0847,2363.024,2858.108,20,9.9017,57.1622
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,11,Case1_RobotScaling_robots1_panic-1,1,-1,204111,timeout,50,10,2,38,150.0152,866.0958,2556.371,3422.467,20,17.3219,68.4494
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,12,Case1_RobotScaling_robots1_panic-1,1,-1,204112,timeout,50,14,3,33,150.0152,804.4589,1986.549,2791.008,28,16.0892,55.8202
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,13,Case1_RobotScaling_robots1_panic-1,1,-1,204113,timeout,50,18,4,28,150.0152,1512.839,1493.967,3006.806,36,30.2568,60.1361
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,14,Case1_RobotScaling_robots1_panic-1,1,-1,204114,timeout,50,27,4,19,150.0152,1735.946,1684.663,3420.609,54,34.7189,68.4122
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,15,Case1_RobotScaling_robots1_panic-1,1,-1,204115,timeout,50,4,2,44,150.0152,368.5384,1966.438,2334.976,8,7.3708,46.6995
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,16,Case1_RobotScaling_robots1_panic-1,1,-1,204116,timeout,50,5,13,32,150.0152,454.7232,2545.848,3000.571,10,9.0945,60.0114
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r1_seed204101_ep100_formal_r1_seed204101,17,Case1_RobotScaling_robots1_panic-1,1,-1,204117,timeout,50,26,3,21,150.0152,1399.691,1973.162,3372.853,52,27.9938,67.4571
