RunId,Episode,Mode,RobotCount,PanicState,Seed,Termination,InitialHumans,Escaped,Deaths,AliveAtEnd,EpisodeTime,EscapedHealthSum,AliveHealthSum,FinalSurvivorHealthSum,SuccessRate,AvgEscapedHealthAll,AvgFinalHealthAll
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,1,Case1_RobotScaling_robots4_panic-1,4,-1,204201,timeout,50,27,4,19,150.0152,1994.686,1259.765,3254.452,54,39.8937,65.089
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,2,Case1_RobotScaling_robots4_panic-1,4,-1,204202,timeout,50,20,0,30,150.0152,1640.409,2690.98,4331.389,40,32.8082,86.6278
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,3,Case1_RobotScaling_robots4_panic-1,4,-1,204203,timeout,50,25,2,23,150.0152,1854.115,1617.884,3472,50,37.0823,69.44
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,4,Case1_RobotScaling_robots4_panic-1,4,-1,204204,timeout,50,41,0,9,150.0152,2568.216,721.5889,3289.805,82,51.3643,65.7961
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,5,Case1_RobotScaling_robots4_panic-1,4,-1,204205,timeout,50,39,1,10,150.0152,2297.104,897.7006,3194.805,78,45.9421,63.8961
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,6,Case1_RobotScaling_robots4_panic-1,4,-1,204206,timeout,50,10,4,36,150.0152,852.4785,1926.156,2778.634,20,17.0496,55.5727
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,7,Case1_RobotScaling_robots4_panic-1,4,-1,204207,timeout,50,25,0,25,150.0152,2178.563,2365.098,4543.66,50,43.5713,90.8732
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,8,Case1_RobotScaling_robots4_panic-1,4,-1,204208,timeout,50,21,3,26,150.0152,1776.029,1549.187,3325.217,42,35.5206,66.5043
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,9,Case1_RobotScaling_robots4_panic-1,4,-1,204209,timeout,50,22,2,26,150.0152,1527.909,2141.784,3669.694,44,30.5582,73.3939
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,10,Case1_RobotScaling_robots4_panic-1,4,-1,204210,timeout,50,27,2,21,150.0152,2292.658,1473.927,3766.585,54,45.8532,75.3317
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,11,Case1_RobotScaling_robots4_panic-1,4,-1,204211,timeout,50,25,4,21,150.0152,2077.246,1406.354,3483.6,50,41.5449,69.672
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,12,Case1_RobotScaling_robots4_panic-1,4,-1,204212,timeout,50,20,2,28,150.0152,1610.464,2371.878,3982.341,40,32.2093,79.6468
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,13,Case1_RobotScaling_robots4_panic-1,4,-1,204213,timeout,50,28,0,22,150.0152,2375.036,1944.077,4319.113,56,47.5007,86.3823
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,14,Case1_RobotScaling_robots4_panic-1,4,-1,204214,timeout,50,30,1,19,150.0152,1703.673,1784.878,3488.552,60,34.0735,69.771
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,15,Case1_RobotScaling_robots4_panic-1,4,-1,204215,timeout,50,21,2,27,150.0152,1320.726,2566.339,3887.065,42,26.4145,77.7413
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,16,Case1_RobotScaling_robots4_panic-1,4,-1,204216,timeout,50,13,2,35,150.0152,912.9031,2149.375,3062.278,26,18.2581,61.2456
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,17,Case1_RobotScaling_robots4_panic-1,4,-1,204217,timeout,50,24,5,21,150.0152,1648.839,1940.969,3589.807,48,32.9768,71.7962
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,18,Case1_RobotScaling_robots4_panic-1,4,-1,204218,timeout,50,25,0,25,150.0152,2223.05,2092.13,4315.18,50,44.461,86.3036
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,19,Case1_RobotScaling_robots4_panic-1,4,-1,204219,timeout,50,30,0,20,150.0152,2363.216,1654.626,4017.842,60,47.2643,80.3568
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,20,Case1_RobotScaling_robots4_panic-1,4,-1,204220,timeout,50,29,0,21,150.0152,2077.447,1984.929,4062.376,58,41.549,81.2475
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,21,Case1_RobotScaling_robots4_panic-1,4,-1,204221,timeout,50,21,2,27,150.0152,1530.85,1614.155,3145.005,42,30.617,62.9001
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,22,Case1_RobotScaling_robots4_panic-1,4,-1,204222,timeout,50,25,3,22,150.0152,1812.773,1261.222,3073.995,50,36.2555,61.4799
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,23,Case1_RobotScaling_robots4_panic-1,4,-1,204223,timeout,50,23,2,25,150.0152,2083.445,2131.596,4215.041,46,41.6689,84.3008
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,24,Case1_RobotScaling_robots4_panic-1,4,-1,204224,timeout,50,13,5,32,150.0152,966.2925,2694.736,3661.029,26,19.3259,73.2206
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,25,Case1_RobotScaling_robots4_panic-1,4,-1,204225,timeout,50,20,0,30,150.0152,1731.591,2891.915,4623.505,40,34.6318,92.4701
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,26,Case1_RobotScaling_robots4_panic-1,4,-1,204226,timeout,50,18,4,28,150.0152,1497.516,1816.882,3314.398,36,29.9503,66.288
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,27,Case1_RobotScaling_robots4_panic-1,4,-1,204227,timeout,50,21,1,28,150.0152,1618.282,1790.274,3408.556,42,32.3656,68.1711
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,28,Case1_RobotScaling_robots4_panic-1,4,-1,204228,timeout,50,19,2,29,150.0152,1564.339,2679.537,4243.876,38,31.2868,84.8775
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,29,Case1_RobotScaling_robots4_panic-1,4,-1,204229,timeout,50,16,2,32,150.0152,1334.795,2923.775,4258.57,32,26.6959,85.1714
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,30,Case1_RobotScaling_robots4_panic-1,4,-1,204230,timeout,50,19,0,31,150.0152,1712.88,2276.662,3989.542,38,34.2576,79.7908
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,31,Case1_RobotScaling_robots4_panic-1,4,-1,204231,timeout,50,26,0,24,150.0152,2094.103,2312.376,4406.479,52,41.8821,88.1296
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,32,Case1_RobotScaling_robots4_panic-1,4,-1,204232,timeout,50,28,4,18,150.0152,1866.734,1323.784,3190.518,56,37.3347,63.8104
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,33,Case1_RobotScaling_robots4_panic-1,4,-1,204233,timeout,50,19,2,29,150.0152,1472.281,2648.755,4121.036,38,29.4456,82.4207
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,34,Case1_RobotScaling_robots4_panic-1,4,-1,204234,timeout,50,26,2,22,150.0152,1935.506,2021.875,3957.382,52,38.7101,79.1476
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,35,Case1_RobotScaling_robots4_panic-1,4,-1,204235,timeout,50,23,2,25,150.0152,1907.573,2234.368,4141.94,46,38.1515,82.8388
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,36,Case1_RobotScaling_robots4_panic-1,4,-1,204236,timeout,50,36,7,7,150.0152,2000.148,611.7833,2611.932,72,40.003,52.2386
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,37,Case1_RobotScaling_robots4_panic-1,4,-1,204237,timeout,50,37,0,13,150.0152,2618.892,891.3024,3510.195,74,52.3779,70.2039
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,38,Case1_RobotScaling_robots4_panic-1,4,-1,204238,timeout,50,21,2,27,150.0152,1378.778,2229.323,3608.101,42,27.5756,72.162
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,39,Case1_RobotScaling_robots4_panic-1,4,-1,204239,timeout,50,35,0,15,150.0152,2789.586,1283.746,4073.332,70,55.7917,81.4666
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,40,Case1_RobotScaling_robots4_panic-1,4,-1,204240,timeout,50,18,1,31,150.0152,1494.095,2849.859,4343.954,36,29.8819,86.8791
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204201_ep100_formal_r4_seed204201,41,Case1_RobotScaling_robots4_panic-1,4,-1,204241,timeout,50,17,3,30,150.0152,1044.181,2186.037,3230.218,34,20.8836,64.6044
