RunId,Episode,Mode,RobotCount,PanicState,Seed,Termination,InitialHumans,Escaped,Deaths,AliveAtEnd,EpisodeTime,EscapedHealthSum,AliveHealthSum,FinalSurvivorHealthSum,SuccessRate,AvgEscapedHealthAll,AvgFinalHealthAll
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,1,Case1_RobotScaling_robots4_panic-1,4,-1,204301,timeout,50,31,0,19,150.0152,2453.804,1857.021,4310.825,62,49.0761,86.2165
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,2,Case1_RobotScaling_robots4_panic-1,4,-1,204302,timeout,50,26,1,23,150.0152,2260.429,2192.141,4452.57,52,45.2086,89.0514
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,3,Case1_RobotScaling_robots4_panic-1,4,-1,204303,timeout,50,32,0,18,150.0152,2276.877,1583.427,3860.305,64,45.5375,77.2061
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,4,Case1_RobotScaling_robots4_panic-1,4,-1,204304,timeout,50,26,3,21,150.0152,1886.977,1538.06,3425.037,52,37.7395,68.5007
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,5,Case1_RobotScaling_robots4_panic-1,4,-1,204305,timeout,50,15,3,32,150.0152,1301.346,2379.843,3681.189,30,26.0269,73.6238
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,6,Case1_RobotScaling_robots4_panic-1,4,-1,204306,timeout,50,35,0,15,150.0152,2068.833,1481.348,3550.18,70,41.3767,71.0036
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,7,Case1_RobotScaling_robots4_panic-1,4,-1,204307,timeout,50,27,0,23,150.0152,2242.643,2187.441,4430.084,54,44.8529,88.6017
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,8,Case1_RobotScaling_robots4_panic-1,4,-1,204308,timeout,50,38,0,12,150.0152,2512.326,978.7208,3491.047,76,50.2465,69.8209
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,9,Case1_RobotScaling_robots4_panic-1,4,-1,204309,timeout,50,29,2,19,150.0152,2154.079,1700.015,3854.094,58,43.0816,77.0819
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,10,Case1_RobotScaling_robots4_panic-1,4,-1,204310,timeout,50,40,5,5,150.0152,2669.472,467.4932,3136.965,80,53.3894,62.7393
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,11,Case1_RobotScaling_robots4_panic-1,4,-1,204311,timeout,50,27,0,23,150.0152,2038.589,1583.624,3622.212,54,40.7718,72.4442
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,12,Case1_RobotScaling_robots4_panic-1,4,-1,204312,timeout,50,24,3,23,150.0152,1953.637,1180.215,3133.852,48,39.0727,62.677
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,13,Case1_RobotScaling_robots4_panic-1,4,-1,204313,timeout,50,18,3,29,150.0152,1021.92,2409.349,3431.269,36,20.4384,68.6254
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,14,Case1_RobotScaling_robots4_panic-1,4,-1,204314,timeout,50,25,0,25,150.0152,1833.294,1908.234,3741.528,50,36.6659,74.8306
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,15,Case1_RobotScaling_robots4_panic-1,4,-1,204315,timeout,50,18,4,28,150.0152,1243.411,2518.382,3761.792,36,24.8682,75.2358
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,16,Case1_RobotScaling_robots4_panic-1,4,-1,204316,timeout,50,33,1,16,150.0152,2328.155,1016.055,3344.21,66,46.5631,66.8842
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,17,Case1_RobotScaling_robots4_panic-1,4,-1,204317,timeout,50,23,2,25,150.0152,1391.265,2415.437,3806.702,46,27.8253,76.134
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,18,Case1_RobotScaling_robots4_panic-1,4,-1,204318,timeout,50,20,3,27,150.0152,1731.368,2125.555,3856.924,40,34.6274,77.1385
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,19,Case1_RobotScaling_robots4_panic-1,4,-1,204319,timeout,50,40,4,6,150.0152,2169.134,458.3031,2627.437,80,43.3827,52.5487
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,20,Case1_RobotScaling_robots4_panic-1,4,-1,204320,timeout,50,25,0,25,150.0152,1929.053,1777.64,3706.693,50,38.5811,74.1339
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,21,Case1_RobotScaling_robots4_panic-1,4,-1,204321,timeout,50,32,4,14,150.0152,2052.144,899.1957,2951.34,64,41.0429,59.0268
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r4_seed204301_ep100_formal_r4_seed204301,22,Case1_RobotScaling_robots4_panic-1,4,-1,204322,timeout,50,27,0,23,150.0152,1791.921,2033.581,3825.503,54,35.8384,76.5101
