RunId,Episode,Mode,RobotCount,PanicState,Seed,Termination,InitialHumans,Escaped,Deaths,AliveAtEnd,EpisodeTime,EscapedHealthSum,AliveHealthSum,FinalSurvivorHealthSum,SuccessRate,AvgEscapedHealthAll,AvgFinalHealthAll
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r2_seed204101_ep100_formal_r2_seed204101,1,Case1_RobotScaling_robots2_panic-1,2,-1,204101,timeout,50,5,9,36,150.0152,477.2567,2836.493,3313.749,10,9.5451,66.275
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r2_seed204101_ep100_formal_r2_seed204101,2,Case1_RobotScaling_robots2_panic-1,2,-1,204102,timeout,50,26,3,21,150.0152,1927.646,1618.549,3546.195,52,38.5529,70.9239
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r2_seed204101_ep100_formal_r2_seed204101,3,Case1_RobotScaling_robots2_panic-1,2,-1,204103,timeout,50,21,6,23,150.0152,1238.92,1715.623,2954.543,42,24.7784,59.0909
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r2_seed204101_ep100_formal_r2_seed204101,4,Case1_RobotScaling_robots2_panic-1,2,-1,204104,timeout,50,10,4,36,150.0152,668.0839,3253.82,3921.904,20,13.3617,78.4381
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r2_seed204101_ep100_formal_r2_seed204101,5,Case1_RobotScaling_robots2_panic-1,2,-1,204105,timeout,50,27,4,19,150.0152,2105.151,1775.594,3880.745,54,42.103,77.6149
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r2_seed204101_ep100_formal_r2_seed204101,6,Case1_RobotScaling_robots2_panic-1,2,-1,204106,timeout,50,15,1,34,150.0152,915.8528,2529.382,3445.235,30,18.3171,68.9047
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r2_seed204101_ep100_formal_r2_seed204101,7,Case1_RobotScaling_robots2_panic-1,2,-1,204107,timeout,50,22,6,22,150.0152,1137.746,1994.226,3131.972,44,22.7549,62.6394
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r2_seed204101_ep100_formal_r2_seed204101,8,Case1_RobotScaling_robots2_panic-1,2,-1,204108,timeout,50,23,6,21,150.0152,1680.866,1497.398,3178.265,46,33.6173,63.5653
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r2_seed204101_ep100_formal_r2_seed204101,9,Case1_RobotScaling_robots2_panic-1,2,-1,204109,timeout,50,7,1,42,150.0152,680.0433,2431.008,3111.051,14,13.6009,62.221
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r2_seed204101_ep100_formal_r2_seed204101,10,Case1_RobotScaling_robots2_panic-1,2,-1,204110,timeout,50,25,4,21,150.0152,1477.207,1250.382,2727.589,50,29.5441,54.5518
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r2_seed204101_ep100_formal_r2_seed204101,11,Case1_RobotScaling_robots2_panic-1,2,-1,204111,timeout,50,15,0,35,150.0152,1295.419,3040.294,4335.713,30,25.9084,86.7143
checkpoint_FINAL_V11_ZERO_SHOT_20260720_step59962_det_r2_seed204101_ep100_formal_r2_seed204101,12,Case1_RobotScaling_robots2_panic-1,2,-1,204112,timeout,50,10,5,35,150.0152,805.9117,2478.516,3284.428,20,16.1182,65.6886
